SKU,Sale_Channel,DateTime,Quantity,Price
ELEC005,Store 2,2024-12-11 01:45:49.476079,1,824.52
CLT004,Store 2,2024-12-11 01:47:11.476079,1,60.37
HOME003,Online,2024-12-11 01:48:11.476079,4,93.78
ELEC005,Store 2,2024-12-11 02:04:09.476079,2,855.13
CLT005,Store 1,2024-12-11 02:40:39.476079,2,50.65
HOME003,Store 1,2024-12-11 02:45:53.476079,2,89.48
CLT006,Online,2024-12-11 03:02:25.476079,1,54.67
ELEC002,Online,2024-12-11 03:07:23.476079,2,523.55
HOME001,Online,2024-12-11 03:32:00.476079,3,85.14
ELEC004,Online,2024-12-11 03:58:08.476079,1,934.26
HOME003,Online,2024-12-11 03:59:14.476079,2,96.19
CLT002,Marketplace,2024-12-11 04:05:46.476079,4,63.2
HOME002,Online,2024-12-11 04:14:53.476079,1,82.27
CLT006,Online,2024-12-11 04:17:28.476079,1,53.04
CLT007,Online,2024-12-11 04:42:13.476079,2,61.64
ELEC005,Store 1,2024-12-11 04:51:10.476079,2,870.35
CLT005,Store 2,2024-12-11 05:09:06.476079,1,48.97
ELEC004,Marketplace,2024-12-11 05:28:15.476079,2,950.78
CLT006,Online,2024-12-11 06:42:39.476079,1,55.35
CLT005,Online,2024-12-11 06:51:09.476079,2,52.31
ELEC004,Online,2024-12-11 06:58:13.476079,1,924.24
ELEC002,Online,2024-12-11 07:30:56.476079,5,537.92
HOME001,Store 2,2024-12-11 07:47:40.476079,1,80.31
CLT003,Online,2024-12-11 08:17:34.476079,1,49.52
ELEC004,Online,2024-12-11 08:37:59.476079,1,993.55
HOME002,Online,2024-12-11 08:41:02.476079,4,80.66
ELEC004,Store 2,2024-12-11 08:43:25.476079,1,975.23
HOME003,Store 2,2024-12-11 08:52:31.476079,1,97.25
HOME001,Online,2024-12-11 09:10:50.476079,2,84.72
CLT004,Online,2024-12-11 09:12:50.476079,4,57.53
HOME001,Store 2,2024-12-11 09:16:54.476079,3,81.72
ELEC001,Online,2024-12-11 09:22:39.476079,3,999.13
ELEC004,Store 2,2024-12-11 09:23:42.476079,3,946.36
ELEC004,Store 2,2024-12-11 09:28:19.476079,1,902.89
CLT002,Store 1,2024-12-11 09:39:41.476079,3,64.96
CLT006,Store 1,2024-12-11 10:18:00.476079,4,52.86
ELEC003,Online,2024-12-11 10:21:38.476079,5,550.08
ELEC003,Marketplace,2024-12-11 10:33:25.476079,1,577.65
CLT005,Online,2024-12-11 10:42:32.476079,4,48.18
ELEC004,Store 2,2024-12-11 10:48:54.476079,1,904.88
ELEC001,Online,2024-12-11 10:52:22.476079,4,953.86
CLT006,Marketplace,2024-12-11 11:01:43.476079,2,53.41
HOME002,Online,2024-12-11 11:04:31.476079,1,82.65
HOME003,Online,2024-12-11 11:12:47.476079,1,95.48
CLT003,Store 2,2024-12-11 11:34:00.476079,2,50.56
CLT003,Store 2,2024-12-11 11:35:13.476079,5,48.37
CLT005,Online,2024-12-11 11:37:20.476079,3,51.87
ELEC005,Store 1,2024-12-11 11:40:31.476079,2,880.58
CLT006,Store 1,2024-12-11 11:40:53.476079,1,52.75
CLT006,Online,2024-12-11 11:43:59.476079,3,54.38
HOME002,Store 1,2024-12-11 11:47:32.476079,1,79.9
ELEC004,Online,2024-12-11 11:48:05.476079,1,910.16
CLT004,Store 1,2024-12-11 11:49:48.476079,2,59.74
CLT003,Store 2,2024-12-11 11:54:18.476079,5,50.24
ELEC004,Online,2024-12-11 11:55:36.476079,1,992.81
CLT002,Online,2024-12-11 11:55:52.476079,1,64.25
ELEC001,Store 2,2024-12-11 11:56:35.476079,1,1008.05
ELEC005,Store 2,2024-12-11 11:58:52.476079,3,874.57
ELEC005,Online,2024-12-11 12:10:28.476079,5,807.85
HOME001,Store 2,2024-12-11 12:15:29.476079,1,80.48
ELEC005,Store 2,2024-12-11 12:32:31.476079,2,860.24
ELEC002,Store 1,2024-12-11 12:44:49.476079,1,518.3
CLT007,Store 2,2024-12-11 13:02:26.476079,1,56.28
ELEC003,Online,2024-12-11 13:07:30.476079,4,554.05
HOME003,Online,2024-12-11 13:10:37.476079,1,92.02
CLT002,Marketplace,2024-12-11 13:15:55.476079,4,68.75
CLT005,Marketplace,2024-12-11 13:17:46.476079,1,48.97
CLT003,Store 1,2024-12-11 13:24:36.476079,5,49.64
ELEC001,Online,2024-12-11 13:40:23.476079,1,961.11
CLT002,Online,2024-12-11 13:57:23.476079,4,66.28
HOME002,Online,2024-12-11 13:57:39.476079,3,78.32
ELEC005,Online,2024-12-11 14:08:48.476079,5,802.23
ELEC004,Online,2024-12-11 14:15:17.476079,5,927.84
ELEC003,Store 1,2024-12-11 14:16:11.476079,1,572.9
ELEC005,Store 2,2024-12-11 14:22:07.476079,5,806.74
CLT005,Store 1,2024-12-11 14:26:06.476079,1,48.29
CLT001,Online,2024-12-11 14:41:48.476079,1,60.48
HOME002,Online,2024-12-11 14:42:10.476079,2,77.31
CLT003,Online,2024-12-11 14:48:58.476079,1,52.83
CLT002,Store 1,2024-12-11 15:01:44.476079,1,65.84
CLT005,Store 1,2024-12-11 15:14:18.476079,1,50.93
CLT007,Online,2024-12-11 15:21:48.476079,4,59.9
ELEC001,Store 2,2024-12-11 15:32:41.476079,1,947.53
CLT002,Marketplace,2024-12-11 15:37:59.476079,1,68.47
ELEC004,Marketplace,2024-12-11 15:42:09.476079,1,904.65
HOME001,Online,2024-12-11 15:44:17.476079,5,83.86
CLT004,Store 2,2024-12-11 15:45:15.476079,1,56.93
CLT002,Marketplace,2024-12-11 15:46:19.476079,3,67.11
CLT003,Store 2,2024-12-11 15:56:50.476079,1,50.89
CLT006,Store 2,2024-12-11 16:01:30.476079,5,52.94
CLT007,Online,2024-12-11 16:04:33.476079,2,58.81
ELEC001,Online,2024-12-11 16:34:16.476079,2,957.43
CLT006,Store 2,2024-12-11 16:43:43.476079,2,52.62
ELEC001,Online,2024-12-11 17:00:17.476079,2,918.09
CLT005,Marketplace,2024-12-11 17:15:39.476079,5,49.39
CLT006,Online,2024-12-11 17:16:05.476079,2,51.98
CLT006,Online,2024-12-11 17:27:05.476079,1,54.72
CLT003,Store 1,2024-12-11 17:28:16.476079,2,50.47
CLT005,Store 1,2024-12-11 17:47:44.476079,1,50.34
CLT001,Online,2024-12-11 17:48:52.476079,5,65.33
ELEC001,Store 1,2024-12-11 17:48:54.476079,4,983.51
CLT002,Online,2024-12-11 17:55:18.476079,1,68.56
ELEC002,Store 1,2024-12-11 17:56:26.476079,1,552.93
HOME002,Store 2,2024-12-11 18:01:06.476079,1,80.31
ELEC001,Store 1,2024-12-11 18:03:05.476079,2,930.38
ELEC004,Marketplace,2024-12-11 18:18:48.476079,5,939.21
CLT004,Marketplace,2024-12-11 18:22:01.476079,5,57.71
HOME002,Store 1,2024-12-11 18:27:21.476079,5,85.37
HOME002,Online,2024-12-11 18:33:13.476079,5,82.34
CLT002,Online,2024-12-11 18:39:31.476079,1,63.62
CLT005,Online,2024-12-11 18:50:15.476079,3,48.52
ELEC005,Online,2024-12-11 19:10:14.476079,1,864.24
HOME002,Store 1,2024-12-11 19:11:23.476079,4,79.91
HOME002,Store 2,2024-12-11 19:13:25.476079,4,78.56
CLT005,Online,2024-12-11 19:21:53.476079,5,51.37
ELEC001,Store 2,2024-12-11 19:21:54.476079,1,937.23
ELEC005,Store 1,2024-12-11 19:22:52.476079,1,878.09
ELEC001,Store 2,2024-12-11 19:29:50.476079,2,985.58
ELEC004,Online,2024-12-11 19:33:21.476079,1,907.6
CLT002,Online,2024-12-11 19:52:31.476079,3,64.72
CLT002,Store 2,2024-12-11 20:13:49.476079,2,64.1
ELEC002,Store 1,2024-12-11 20:16:47.476079,3,522.23
ELEC005,Store 2,2024-12-11 20:22:11.476079,1,824.05
HOME002,Store 2,2024-12-11 20:22:38.476079,2,77.78
CLT005,Store 1,2024-12-11 20:26:12.476079,1,48.92
HOME003,Store 2,2024-12-11 20:30:44.476079,2,95.73
HOME003,Online,2024-12-11 20:35:42.476079,1,91.64
ELEC005,Marketplace,2024-12-11 20:37:32.476079,4,821.91
ELEC002,Store 1,2024-12-11 20:39:44.476079,1,558.08
HOME002,Online,2024-12-11 20:50:39.476079,1,80.11
ELEC003,Online,2024-12-11 20:53:10.476079,2,570.01
HOME003,Store 2,2024-12-11 21:06:53.476079,4,97.72
CLT005,Online,2024-12-11 21:08:02.476079,1,48.36
ELEC004,Online,2024-12-11 21:55:22.476079,2,953.53
ELEC003,Online,2024-12-11 22:01:03.476079,2,579.31
ELEC001,Marketplace,2024-12-11 22:02:32.476079,3,942.94
CLT004,Online,2024-12-11 22:55:09.476079,1,57.83
CLT002,Store 1,2024-12-11 22:56:13.476079,1,63.64
HOME001,Online,2024-12-11 23:51:54.476079,2,86.06
ELEC001,Online,2024-12-12 00:03:35.476079,5,971.62
CLT006,Store 1,2024-12-12 00:27:56.476079,4,54.83
HOME003,Store 1,2024-12-12 01:09:14.476079,3,96.05
CLT006,Marketplace,2024-12-12 01:23:55.476079,1,54.05
ELEC001,Online,2024-12-12 02:00:26.476079,2,981.9
CLT002,Online,2024-12-12 02:09:27.476079,1,66.4
CLT006,Marketplace,2024-12-12 02:43:17.476079,1,52.87
ELEC004,Online,2024-12-12 03:13:13.476079,2,930.44
ELEC005,Store 1,2024-12-12 03:29:27.476079,2,844.96
ELEC001,Online,2024-12-12 03:31:33.476079,2,950.78
CLT007,Online,2024-12-12 03:43:57.476079,2,56.97
HOME002,Store 2,2024-12-12 03:46:56.476079,1,80.3
ELEC003,Online,2024-12-12 03:54:53.476079,2,574.22
CLT002,Store 1,2024-12-12 04:02:11.476079,2,65.42
CLT007,Marketplace,2024-12-12 04:06:03.476079,2,60.28
ELEC005,Online,2024-12-12 04:15:03.476079,2,873.38
CLT003,Online,2024-12-12 05:26:22.476079,1,50.2
CLT003,Store 1,2024-12-12 05:31:48.476079,1,49.05
CLT002,Store 1,2024-12-12 05:44:22.476079,4,64.63
ELEC003,Store 1,2024-12-12 06:03:38.476079,3,562.37
ELEC002,Store 2,2024-12-12 06:08:10.476079,5,526.68
ELEC003,Marketplace,2024-12-12 06:12:16.476079,5,576.54
CLT006,Store 1,2024-12-12 06:29:19.476079,2,53.27
CLT001,Online,2024-12-12 06:31:11.476079,2,61.04
CLT003,Store 2,2024-12-12 07:03:20.476079,2,52.14
CLT007,Store 1,2024-12-12 07:16:28.476079,1,59.03
CLT006,Store 2,2024-12-12 07:17:55.476079,2,53.76
HOME001,Marketplace,2024-12-12 07:19:52.476079,1,86.87
ELEC005,Marketplace,2024-12-12 07:20:06.476079,1,866.34
CLT004,Online,2024-12-12 07:20:13.476079,5,61.45
ELEC005,Online,2024-12-12 07:45:18.476079,5,832.22
CLT002,Online,2024-12-12 07:57:34.476079,3,63.8
HOME002,Online,2024-12-12 08:14:56.476079,2,84.14
ELEC001,Online,2024-12-12 08:26:30.476079,3,931.71
HOME003,Online,2024-12-12 09:07:04.476079,2,90.34
CLT007,Marketplace,2024-12-12 09:12:26.476079,3,57.04
CLT003,Store 1,2024-12-12 09:21:34.476079,2,53.01
ELEC001,Marketplace,2024-12-12 09:21:59.476079,4,997.19
ELEC001,Online,2024-12-12 09:40:07.476079,5,1008.25
CLT006,Online,2024-12-12 09:57:37.476079,1,52.72
CLT006,Store 2,2024-12-12 10:05:55.476079,1,50.42
HOME001,Online,2024-12-12 10:11:34.476079,1,82.67
ELEC005,Online,2024-12-12 10:16:18.476079,1,883.1
ELEC001,Store 2,2024-12-12 10:19:27.476079,5,954.76
ELEC002,Online,2024-12-12 10:21:45.476079,1,538.43
CLT005,Online,2024-12-12 10:35:48.476079,2,50.57
CLT005,Store 1,2024-12-12 10:37:10.476079,3,49.24
CLT004,Marketplace,2024-12-12 10:43:41.476079,2,59.63
ELEC003,Online,2024-12-12 10:48:13.476079,3,531.84
HOME003,Store 1,2024-12-12 10:52:48.476079,2,89.74
HOME003,Marketplace,2024-12-12 10:56:28.476079,2,92.38
HOME003,Online,2024-12-12 11:01:22.476079,4,91.05
CLT002,Online,2024-12-12 11:08:01.476079,5,63.24
CLT007,Online,2024-12-12 11:21:12.476079,4,57.58
CLT004,Store 2,2024-12-12 11:28:09.476079,3,60.62
ELEC003,Store 1,2024-12-12 11:30:14.476079,3,560.21
HOME002,Online,2024-12-12 11:56:41.476079,1,82.61
CLT004,Store 1,2024-12-12 12:05:12.476079,4,58.35
CLT005,Online,2024-12-12 12:15:09.476079,1,50.86
CLT007,Online,2024-12-12 12:24:08.476079,1,61.84
ELEC004,Online,2024-12-12 12:28:17.476079,1,991.45
ELEC002,Online,2024-12-12 12:39:17.476079,1,533.18
ELEC001,Store 2,2024-12-12 12:47:13.476079,2,991.47
CLT004,Store 1,2024-12-12 13:07:33.476079,1,58.49
HOME002,Online,2024-12-12 13:09:41.476079,2,77.29
ELEC004,Store 1,2024-12-12 13:12:01.476079,4,994.86
HOME001,Online,2024-12-12 13:17:22.476079,4,88.59
HOME002,Online,2024-12-12 13:28:10.476079,1,80.54
HOME003,Online,2024-12-12 13:29:18.476079,2,91.85
ELEC003,Store 1,2024-12-12 13:32:45.476079,4,580.42
ELEC004,Store 2,2024-12-12 13:57:08.476079,1,943.02
CLT002,Store 2,2024-12-12 13:58:36.476079,1,66.91
CLT004,Online,2024-12-12 14:00:52.476079,2,57.88
ELEC002,Store 2,2024-12-12 14:07:35.476079,5,506.86
ELEC002,Store 2,2024-12-12 14:11:10.476079,2,543.86
ELEC002,Store 1,2024-12-12 14:11:40.476079,2,505.62
CLT007,Online,2024-12-12 15:09:06.476079,1,56.87
HOME001,Store 1,2024-12-12 15:26:01.476079,1,83.9
CLT006,Online,2024-12-12 15:26:51.476079,1,50.86
ELEC004,Online,2024-12-12 15:35:32.476079,1,977.13
ELEC004,Store 2,2024-12-12 15:38:44.476079,2,930.32
ELEC001,Store 2,2024-12-12 15:40:24.476079,2,1006.79
HOME003,Store 2,2024-12-12 15:43:01.476079,1,90.37
CLT006,Online,2024-12-12 15:47:26.476079,1,51.07
HOME001,Store 2,2024-12-12 15:47:32.476079,4,86.21
ELEC003,Online,2024-12-12 15:48:16.476079,1,583.48
ELEC001,Store 2,2024-12-12 15:56:10.476079,1,932.09
HOME002,Store 1,2024-12-12 16:03:44.476079,1,83.6
HOME003,Online,2024-12-12 16:16:41.476079,1,92.95
ELEC004,Store 1,2024-12-12 16:22:09.476079,1,995.5
CLT004,Online,2024-12-12 16:38:19.476079,1,56.84
CLT005,Online,2024-12-12 16:52:05.476079,3,49.73
ELEC005,Store 2,2024-12-12 17:09:48.476079,1,804.12
CLT004,Store 1,2024-12-12 17:11:30.476079,4,59.43
ELEC003,Store 1,2024-12-12 17:11:35.476079,4,586.24
ELEC001,Marketplace,2024-12-12 17:14:34.476079,3,995.34
ELEC005,Store 2,2024-12-12 17:26:24.476079,1,818.07
ELEC003,Online,2024-12-12 17:28:32.476079,2,539.12
ELEC005,Marketplace,2024-12-12 17:29:18.476079,1,813.04
HOME001,Store 1,2024-12-12 17:44:20.476079,1,83.18
HOME003,Store 2,2024-12-12 17:50:42.476079,1,89.74
CLT002,Store 1,2024-12-12 18:04:03.476079,5,63.02
CLT002,Online,2024-12-12 18:04:50.476079,2,68.69
CLT001,Online,2024-12-12 18:10:52.476079,5,60.94
ELEC002,Online,2024-12-12 18:16:04.476079,1,541.83
ELEC005,Online,2024-12-12 18:21:21.476079,2,807.91
ELEC005,Online,2024-12-12 18:31:29.476079,1,834.27
ELEC002,Store 2,2024-12-12 19:04:09.476079,1,540.32
ELEC003,Store 1,2024-12-12 19:06:51.476079,1,544.29
ELEC005,Store 2,2024-12-12 19:08:37.476079,5,799.38
CLT007,Store 1,2024-12-12 19:08:47.476079,3,61.65
HOME002,Online,2024-12-12 19:29:21.476079,1,80.11
HOME002,Online,2024-12-12 19:31:12.476079,5,79.46
ELEC004,Online,2024-12-12 19:39:14.476079,1,931.65
CLT004,Store 2,2024-12-12 19:40:25.476079,2,61.19
ELEC004,Online,2024-12-12 19:42:47.476079,4,939.93
CLT001,Online,2024-12-12 19:46:31.476079,1,64.16
ELEC005,Online,2024-12-12 19:51:03.476079,2,804.69
CLT004,Store 1,2024-12-12 20:04:26.476079,1,61.36
ELEC002,Store 1,2024-12-12 20:06:14.476079,2,539.52
CLT005,Online,2024-12-12 20:11:28.476079,1,50.7
CLT003,Marketplace,2024-12-12 20:34:42.476079,1,49.16
CLT004,Online,2024-12-12 20:36:23.476079,2,56.53
ELEC001,Marketplace,2024-12-12 20:40:57.476079,2,938.2
HOME003,Online,2024-12-12 20:42:51.476079,2,93.76
HOME002,Marketplace,2024-12-12 20:42:58.476079,1,80.89
CLT003,Store 1,2024-12-12 20:48:33.476079,5,50.91
ELEC002,Store 1,2024-12-12 20:57:59.476079,2,542.88
ELEC001,Store 1,2024-12-12 20:58:37.476079,2,941.3
CLT002,Store 1,2024-12-12 21:37:33.476079,2,68.08
ELEC003,Store 1,2024-12-12 21:40:12.476079,4,558.3
CLT003,Store 2,2024-12-12 22:30:48.476079,5,48.63
ELEC001,Store 1,2024-12-12 22:41:01.476079,4,944.17
ELEC002,Online,2024-12-12 23:18:45.476079,3,535.59
ELEC002,Online,2024-12-12 23:19:04.476079,1,548.72
ELEC004,Online,2024-12-12 23:35:36.476079,3,915.14
HOME002,Marketplace,2024-12-12 23:35:46.476079,5,80.99
CLT003,Store 2,2024-12-12 23:56:24.476079,1,51.65
HOME002,Online,2024-12-13 00:03:13.476079,4,84.82
CLT002,Store 2,2024-12-13 00:34:37.476079,4,65.97
CLT005,Store 2,2024-12-13 00:43:47.476079,3,50.43
CLT002,Online,2024-12-13 00:53:10.476079,1,67.5
ELEC002,Store 1,2024-12-13 01:26:17.476079,2,525.03
ELEC001,Marketplace,2024-12-13 01:53:29.476079,4,938.13
ELEC005,Store 1,2024-12-13 03:00:28.476079,5,866.94
HOME003,Online,2024-12-13 03:20:14.476079,4,92.4
ELEC001,Store 2,2024-12-13 03:32:05.476079,2,917.04
HOME002,Store 2,2024-12-13 04:04:27.476079,4,81.8
CLT002,Online,2024-12-13 04:07:22.476079,4,66.76
CLT005,Online,2024-12-13 04:13:51.476079,4,50.72
CLT005,Store 1,2024-12-13 04:34:10.476079,2,51.27
CLT002,Store 1,2024-12-13 06:16:11.476079,3,62.6
ELEC003,Online,2024-12-13 06:18:19.476079,1,549.15
ELEC001,Online,2024-12-13 06:28:22.476079,1,939.67
CLT006,Store 1,2024-12-13 07:17:34.476079,1,53.82
ELEC005,Online,2024-12-13 07:18:21.476079,4,825.92
HOME003,Online,2024-12-13 07:50:50.476079,2,97.78
ELEC004,Store 2,2024-12-13 08:22:46.476079,3,989.86
ELEC002,Online,2024-12-13 08:49:50.476079,3,537.27
ELEC001,Store 1,2024-12-13 08:56:41.476079,1,917.2
CLT002,Store 1,2024-12-13 09:00:53.476079,2,64.12
ELEC002,Store 1,2024-12-13 09:07:00.476079,5,548.41
ELEC004,Store 2,2024-12-13 09:18:19.476079,4,913.45
ELEC001,Store 1,2024-12-13 09:37:16.476079,1,984.36
CLT007,Online,2024-12-13 09:54:49.476079,1,61.42
CLT002,Store 2,2024-12-13 10:00:07.476079,2,67.16
CLT007,Store 2,2024-12-13 10:14:58.476079,3,60.38
ELEC005,Store 1,2024-12-13 10:15:11.476079,1,838.33
HOME001,Online,2024-12-13 10:15:49.476079,1,86.63
HOME003,Store 2,2024-12-13 10:15:57.476079,3,89.01
ELEC005,Store 1,2024-12-13 10:20:50.476079,1,811.29
HOME001,Online,2024-12-13 10:27:36.476079,2,88.35
ELEC004,Store 1,2024-12-13 10:35:35.476079,1,965.24
ELEC005,Online,2024-12-13 10:36:23.476079,3,877.41
HOME003,Store 1,2024-12-13 10:48:37.476079,2,96.29
CLT005,Store 1,2024-12-13 10:55:23.476079,5,48.32
CLT004,Store 1,2024-12-13 10:55:54.476079,1,61.01
HOME003,Marketplace,2024-12-13 11:06:35.476079,1,93.33
ELEC002,Online,2024-12-13 11:20:27.476079,1,540.1
ELEC003,Online,2024-12-13 11:27:21.476079,1,553.67
ELEC004,Store 2,2024-12-13 11:37:59.476079,3,923.37
ELEC003,Store 1,2024-12-13 11:40:18.476079,2,553.19
CLT006,Marketplace,2024-12-13 11:42:52.476079,1,55.03
HOME001,Online,2024-12-13 11:43:58.476079,5,86.26
CLT005,Store 2,2024-12-13 11:46:13.476079,5,50.73
CLT006,Online,2024-12-13 11:48:18.476079,3,54.63
